Type,Enum,Active,Description,Value1,Value2,Value3
0,ASSISTED_COMBAT_RULE_TYPE_SPELL_LEARNED,Y,若已点出天赋 {spell},UNUSED,UNUSED,UNUSED
1,ASSISTED_COMBAT_RULE_TYPE_SPELL_ON_COOLDOWN,Y,若技能 {arg1} 正在冷却,Spell,UNUSED,UNUSED
2,ASSISTED_COMBAT_RULE_TYPE_SPELL_OFF_COOLDOWN,Y,若技能 {spell} 不在冷却中,UNUSED,UNUSED,UNUSED
3,ASSISTED_COMBAT_RULE_TYPE_TARGET_DISTANCE_LESS,Y,若目标距离小于等于 {arg1} 码,Target Distance,UNUSED,UNUSED
4,ASSISTED_COMBAT_RULE_TYPE_TARGET_DISTANCE_GREATER,Y,若目标距离大于 {arg1} 码,Target Distance,UNUSED,UNUSED
5,ASSISTED_COMBAT_RULE_TYPE_HOSTILE_TARGET,Y,若目标是敌对单位,UNUSED,UNUSED,UNUSED
6,ASSISTED_COMBAT_RULE_TYPE_FRIENDLY_TARGET,N,若目标是友方单位,UNUSED,UNUSED,UNUSED
7,ASSISTED_COMBAT_RULE_TYPE_HEALTH_PCT_GREATER,N,若目标生命值大于等于 {arg1}%,Target Health %,UNUSED,UNUSED
8,ASSISTED_COMBAT_RULE_TYPE_HEALTH_PCT_LESS,Y,若目标生命值小于等于 {arg1}%,Target Health %,UNUSED,UNUSED
9,ASSISTED_COMBAT_RULE_TYPE_AURA_ON_PLAYER,Y,若玩家拥有增益/减益 {arg1},Spell:Buff,UNUSED,UNUSED
10,ASSISTED_COMBAT_RULE_TYPE_AURA_ON_TARGET,Y,若目标拥有增益/减益 {arg1},Spell:Buff,UNUSED,UNUSED
11,ASSISTED_COMBAT_RULE_TYPE_TARGET_COUNT_NEAR_TARGET_GREATER,Y,若目标周围 {arg2} 码内的目标数量大于 {arg1} 个,Unit Count,Distance,UNUSED
12,ASSISTED_COMBAT_RULE_TYPE_TARGET_COUNT_NEAR_PLAYER_GREATER,Y,若玩家周围 {arg2} 码内的目标数量大于 {arg1} 个,Unit Count,Distance,UNUSED
13,ASSISTED_COMBAT_RULE_TYPE_AURA_COUNT_NEAR_PLAYER_GREATER,N,若玩家周围 {arg2} 码内带有增益/减益 {arg3} 的目标数量大于等于 {arg1} 个,UNUSED,UNUSED,UNUSED
14,ASSISTED_COMBAT_RULE_TYPE_AFFORD_COST,Y,若玩家有足够资源施放技能 {spell},UNUSED,UNUSED,UNUSED
15,ASSISTED_COMBAT_RULE_TYPE_AURA_MISSING_TARGET,Y,若目标没有增益/减益 {arg1},Spell:Buff,UNUSED,UNUSED
16,ASSISTED_COMBAT_RULE_TYPE_AURA_MISSING_PLAYER,Y,若玩家没有增益/减益 {arg1},Spell:Buff,UNUSED,UNUSED
17,ASSISTED_COMBAT_RULE_TYPE_AURA_DURATION_PLAYER,Y,若玩家身上的增益/减益 {arg1} 剩余时间小于等于 {arg2} 毫秒,Spell:Buff,Duration,UNUSED
18,ASSISTED_COMBAT_RULE_TYPE_AURA_DURATION_TARGET,Y,若目标身上的增益/减益 {arg1} 剩余时间小于等于 {arg2} 毫秒,Spell:Buff,Duration,UNUSED
19,ASSISTED_COMBAT_RULE_TYPE_MANA_GREATER,N,若玩家法力大于等于 {arg1},Mana amount,UNUSED,UNUSED
20,ASSISTED_COMBAT_RULE_TYPE_MANA_LESS,Y,若玩家法力小于等于 {arg1},Mana amount,UNUSED,UNUSED
21,ASSISTED_COMBAT_RULE_TYPE_RAGE_GREATER,Y,若玩家怒气大于等于 {arg1},Rage amount,UNUSED,UNUSED
22,ASSISTED_COMBAT_RULE_TYPE_RAGE_LESS,N,若玩家怒气小于等于 {arg1},Rage amount,UNUSED,UNUSED
23,ASSISTED_COMBAT_RULE_TYPE_FOCUS_GREATER,Y,若玩家集中值大于等于 {arg1},Focus amount,UNUSED,UNUSED
24,ASSISTED_COMBAT_RULE_TYPE_FOCUS_LESS,N,若玩家集中值小于等于 {arg1},Focus amount,UNUSED,UNUSED
25,ASSISTED_COMBAT_RULE_TYPE_ENERGY_GREATER,Y,若玩家能量大于等于 {arg1},Energy amount,UNUSED,UNUSED
26,ASSISTED_COMBAT_RULE_TYPE_ENERGY_LESS,N,若玩家能量小于等于 {arg1},Energy amount,UNUSED,UNUSED
27,ASSISTED_COMBAT_RULE_TYPE_COMBO_POINTS_GREATER,Y,若玩家连击点大于等于 {arg1},Combo Point amount,UNUSED,UNUSED
28,ASSISTED_COMBAT_RULE_TYPE_COMBO_POINTS_LESS,Y,若玩家连击点小于等于 {arg1},Combo Point amount,UNUSED,UNUSED
29,ASSISTED_COMBAT_RULE_TYPE_RUNES_GREATER,Y,若玩家符文大于等于 {arg1},DK Rune amount,UNUSED,UNUSED
30,ASSISTED_COMBAT_RULE_TYPE_RUNES_LESS,N,若玩家符文小于等于 {arg1},DK Rune amount,UNUSED,UNUSED
31,ASSISTED_COMBAT_RULE_TYPE_RUNIC_POWER_GREATER,Y,若玩家符文能量大于等于 {arg1},Rune Power amount,UNUSED,UNUSED
32,ASSISTED_COMBAT_RULE_TYPE_RUNIC_POWER_LESS,Y,若玩家符文能量小于等于 {arg1},Rune Power amount,UNUSED,UNUSED
