ID,Name_lang
1,"Word of Recall (OLD)"
3,"Word of Mass Recall (OLD)"
4,召回他人之语
5,死亡之触
7,自杀
11,上古寒冰箭
13,"Swim Speed (TEST)"
14,抽取法力
17,真言术：盾
24,"Major Heal Self (TEST)"
25,昏迷
26,"Bind Self (TEST)"
27,闪金镇传送门
31,传送：闪金镇
33,传送：西部荒野
34,传送：暮色森林
35,传送：艾尔文森林
45,战争践踏
53,背刺
59,"Normal bow shot (TEST)"
65,加速
66,隐形术
71,先锋
75,自动射击
77,龟壳
81,躲闪
96,肢解
99,夺魂咆哮
100,冲锋
101,摔投
107,格挡
108,"Evade (DND)"
110,"Critter Tracking (INTERNAL)"
111,时间之步
112,"Reflect Magic (TEST)"
113,寒冰锁链
116,寒冰箭
118,变形术
120,冰锥术
122,冰霜新星
126,基尔罗格之眼
130,缓落术
133,火球术
134,火焰之盾
136,治疗宠物
139,恢复
172,腐蚀术
196,单手斧
197,双手斧
198,单手锤
199,双手锤
200,长柄武器
201,单手剑
202,双手剑
203,徒手
204,防御
227,法杖
228,变鸡术
246,减速术
261,召唤骷髅
264,弓
265,"Area Death (TEST)"
266,枪械
269,"Walk of Fire Trigger (DNC)"
339,纠缠根须
348,献祭
355,嘲讽
370,净化术
379,大地之盾
408,肾击
427,传送：修道院
428,传送：月溪镇
430,喝水
433,进食
436,恢复法力
439,治疗药水
442,传送：北郡修道院
443,传送：兵营
444,传送：灯塔
445,传送：夜色镇
446,传送：墓地
447,传送：树人
453,安抚心灵
458,棕马
459,灰狼
465,虔诚光环
467,荆棘术
468,白马
470,黑马
471,褐色马
472,杂色马
475,解除诅咒
483,学习
498,圣佑术
514,"Scott Test"
518,召唤虫子
522,"SPELLDEFENSE (DND)"
527,纯净术
528,驱散魔法
530,"Charm (Possess)"
546,水上行走
550,消毒术
556,星界传送
568,奥术爆裂
578,黑狼
579,赤狼
580,森林狼
581,冬狼
585,惩击
586,渐隐术
589,暗言术：痛
596,治疗祷言
603,末日降临
605,精神控制
606,心灵腐蚀
633,圣疗术
642,圣盾术
668,通用语
669,兽人语
670,牛头人语
671,达纳苏斯语
672,矮人语
673,次级护甲
674,双武器
686,暗影箭
688,召唤小鬼
691,召唤地狱猎犬
697,召唤虚空行者
698,召唤仪式
700,催眠术
702,虚弱诅咒
703,锁喉
710,放逐术
712,召唤魅魔
720,纠缠
740,宁静
742,粉碎
744,中毒
745,蛛网
746,急救
747,召唤幻象
750,板甲
755,生命通道
759,制造法力宝石
768,猎豹形态
772,撕裂
774,回春术
781,逃脱
783,旅行形态
785,充实
799,双子传送
802,变形包
804,爆炸虫
806,热情
812,周期性法力燃烧
813,萨拉斯语
814,龙语
815,恶魔语
816,泰坦语
817,古代语
818,烹饪用火
822,奥术抗性
823,自然抗性
824,骑术：马
825,骑术：狼
826,骑术：羊
827,"Nightmare Riding"
828,骑术：豹
829,厚颅
830,无畏
831,"Swimming (NYI)"
833,绿茶
835,潮汐咒符
836,LOGINEFFECT
845,顺劈斩
851,变羊术
853,制裁之锤
871,盾墙
883,"召唤宠物 1"
898,制造热情药水
